Dayahead Market MCPs.

01/01/2012,,All Hours-Ending are Eastern Standard Time (EST)

,,MCP Type, HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
AMMO.GOOSEGEN1,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
AMMO.GOOSEGEN2,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
AMMO.GOOSEGEN3,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
AMMO.GOOSEGEN4,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
AMMO.GOOSEGEN5,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
AMMO.GOOSEGEN6,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
AMMO.KMDYCTG1,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
AMMO.KMDYCTG2,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
CWLD.CEC2CTG1,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
CWLD.CEC2CTG2,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
CWLD.CEC2CTG3,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
CWLD.CEC2CTG4,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
CWLP.DALLMA83,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
CWLP.DALLMA84,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
CWLP.DALLMA91,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
CWLP.DALLMA92,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
CWLP.FACTOR91,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
CWLP.INTERSA81,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
CWLP.REYNOLS91,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
MEC.CORALV1,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
MEC.CORALV2,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
MEC.CORALV3,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
MEC.CORALV4,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
MEC.LOUISA_1,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
MEC.MOLCT_14,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
MEC.RIVSID_5,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
MPW.UNIT_7,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
MPW.UNIT_8,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
MPW.UNIT_8A,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
MPW.UNIT_9,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
NIPS.DR.GOSHHC,Zone 1,DEMSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
NIPS.DR.HORSE,Zone 1,DEMSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
NIPS.DR.MITTAL,Zone 1,DEMSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
NIPS.DR.PACTIV,Zone 1,DEMSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
NIPS.DR.PRAXAR,Zone 1,DEMSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
NIPS.DR.USG,Zone 1,DEMSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
NIPS.DR.WEILMC,Zone 1,DEMSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
NSP.BAT.SER,Zone 1,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.52,.5,.96,.76
ALTW.AMESWIND,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.BRLGTN1,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.BRLGTN2,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.BRLGTN3,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.BRLGTN4,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.BRLGTN5,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.CC.SLAK1,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.CC.SLAK2,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.GRCT1,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.GRCT2,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.MTOWNCT1,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.MTOWNCT2,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.MTOWNCT3,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.NCENT1,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.NCENT2,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.OTTUMW1,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.ROQUETTE1,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.SLAK_1N,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.SLAK_2N,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.SLAK_31,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.SLAK_32,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.STORYALTM,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.STORYBUCK,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.STORYCOII,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.STORYHEPM,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.STORYWVPA,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.SUTH1,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.SUTH3,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.WSEC3,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.WSEC4,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
ALTW.W_JEFERSN,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.AMS_ASTOR,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.ANI_AANIT,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.BALDWI51,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.BALDWI52,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.BALDWI53,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.CC.GDTWR1,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.CC.GDTWR2,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.GDTOWER1,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.GDTOWER2,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.GDTOWER3,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.GDTOWER4,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.GRJ_AGRJ_,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.HEN_AMT_P,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.PSG1.IMEA,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.PSG1.LGEP,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.PSG1.SIPC,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.PSG2.IMEA,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.PSG2.LGEP,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.PSG2.SIPC,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.PSGC1.PPI,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.PSGC1.TEA,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.PSGC2.PPI,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.PSGC2.TEA,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.STALLIG-4,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.SWCC.PLUM,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.TBCRSTAT,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.WOODRW84,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMIL.WOODRW85,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.AUDRN11,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.AUDRN22,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.AUDRN33,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.AUDRN44,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.AUDRN55,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.AUDRN66,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.AUDRN77,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.AUDRN88,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.CALLAWAY1,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.CC.KEOKUK,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.CC.OSAGE,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.FGRDCTG1,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.HDBDCTG1,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.KEOKUK1,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.KEOKUK10,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.KEOKUK11,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.KEOKUK12,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.KEOKUK13,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.KEOKUK14,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.KEOKUK15,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.KEOKUK2,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.KEOKUK3,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.KEOKUK4,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.KEOKUK5,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.KEOKUK6,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.KEOKUK7,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.KEOKUK8,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.KEOKUK9,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.KIRK2CTG1,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.LABADIE1,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.LABADIE2,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.LABADIE3,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.LABADIE4,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.MERAMEC1,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.MERAMEC2,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.MERAMEC3,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.MERAMEC4,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.MERAMECT1,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
AMMO.MERAMECT2,Zone 2,GENSUPPMCP,.7,.7,.7,.7,.68,.68,.68,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.53,.5,.97,.76
