Dayahead Market MCPs.

01/01/2012,,All Hours-Ending are Eastern Standard Time (EST)

,,MCP Type, HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
CWLD.CEC2CTG2,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
CWLD.CEC2CTG3,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
CWLD.CEC2CTG4,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
CWLP.DALLMA83,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
CWLP.DALLMA84,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
CWLP.DALLMA91,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
CWLP.DALLMA92,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
CWLP.FACTOR91,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
CWLP.INTERSA81,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
CWLP.REYNOLS91,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
MEC.CORALV1,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
MEC.CORALV2,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
MEC.CORALV3,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
MEC.CORALV4,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
MEC.LOUISA_1,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
MEC.MOLCT_14,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
MEC.RIVSID_5,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
MPW.UNIT_7,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
